clean_message,label
pan card deactivated urgent action required httppanupdatein,1
rbi account suspended share otp reactivate,1
reminder drink water stay hydrated today,0
dont miss flat styles myntra offer valid till sunday,0
reminder drink water stay hydrated today,0
youve received parcel fedex pay delivery fee httpscamlinkcom,1
reminder drink water stay hydrated today,0
youve received parcel fedex pay delivery fee httpscamlinkcom,1
thank using phonepe transaction successful,0
rbi account suspended share otp reactivate,1
ye police ka emergency call hai tumhe digital arrest kiya jaa raha hai,1
youve received parcel fedex pay delivery fee httpscamlinkcom,1
paytm account blocked update kyc httpfraudkyccom,1
bank statement june ready view,0
reminder car service due week please visit nearest center,0
amazon order shipped delivered tomorrow,0
congratulations youve kbc lucky draw call claim prize,1
bank statement june ready view,0
reminder drink water stay hydrated today,0
paytm account blocked update kyc httpfraudkyccom,1
youve received parcel fedex pay delivery fee httpscamlinkcom,1
bank statement june ready view,0
zomato order confirmed reach mins,0
get free recharge worth limited offer httpscamdealin,1
inspector sharma delhi police aadhaar card linked crime pay avoid arrest,1
inspector sharma delhi police aadhaar card linked crime pay avoid arrest,1
rbi account suspended share otp reactivate,1
tumhara pan card kisi dusre ke sath link ho gaya hai resolve karne ke liye pay karo,1
calling income tax department refund share account details,1
reminder drink water stay hydrated today,0
digital lockdown lagne wala hai tumhare number pe bachne ke liye abhi pay karo,1
calling income tax department refund share account details,1
thank using phonepe transaction successful,0
ola driver arrived please wear mask travel safely,0
netflix new episode favorite show available,0
calling income tax department refund share account details,1
ye police ka emergency call hai tumhe digital arrest kiya jaa raha hai,1
bank suspicious transaction detected click verify httpbankfraudcom,1
dont miss flat styles myntra offer valid till sunday,0
cbi raid hone wali hai tumhare ghar pe agar innocent ho toh abhi fine pay karo,1
bank suspicious transaction detected click verify httpbankfraudcom,1
pan card deactivated urgent action required httppanupdatein,1
pan card deactivated urgent action required httppanupdatein,1
zomato order confirmed reach mins,0
paytm account blocked update kyc httpfraudkyccom,1
zomato order confirmed reach mins,0
reminder car service due week please visit nearest center,0
get free recharge worth limited offer httpscamdealin,1
congratulations youve kbc lucky draw call claim prize,1
dont miss flat styles myntra offer valid till sunday,0
reminder drink water stay hydrated today,0
ola driver arrived please wear mask travel safely,0
ola driver arrived please wear mask travel safely,0
reminder car service due week please visit nearest center,0
police station se baat kar rahe hain aapko arrest notice diya gaya hai,1
pan card deactivated urgent action required httppanupdatein,1
reminder car service due week please visit nearest center,0
congratulations youve kbc lucky draw call claim prize,1
inspector sharma delhi police aadhaar card linked crime pay avoid arrest,1
ola driver arrived please wear mask travel safely,0
thank using phonepe transaction successful,0
reminder car service due week please visit nearest center,0
thank using phonepe transaction successful,0
electricity disconnected tonight click pay pending bill httpfakepaylinkcom,1
cyber police se bol raha hoon tumhara number hacking ke case mein mila hai,1
pan card deactivated urgent action required httppanupdatein,1
electricity disconnected tonight click pay pending bill httpfakepaylinkcom,1
rbi account suspended share otp reactivate,1
amazon order shipped delivered tomorrow,0
get free recharge worth limited offer httpscamdealin,1
reminder car service due week please visit nearest center,0
paytm account blocked update kyc httpfraudkyccom,1
congratulations youve kbc lucky draw call claim prize,1
zomato order confirmed reach mins,0
electricity disconnected tonight click pay pending bill httpfakepaylinkcom,1
get free recharge worth limited offer httpscamdealin,1
paytm account blocked update kyc httpfraudkyccom,1
thank using phonepe transaction successful,0
electricity bill due th july pay avoid late fee,0
inspector sharma delhi police aadhaar card linked crime pay avoid arrest,1
electricity bill due th july pay avoid late fee,0
amazon order shipped delivered tomorrow,0
ola driver arrived please wear mask travel safely,0
calling income tax department refund share account details,1
netflix new episode favorite show available,0
get free recharge worth limited offer httpscamdealin,1
ola driver arrived please wear mask travel safely,0
bank suspicious transaction detected click verify httpbankfraudcom,1
zomato order confirmed reach mins,0
pan card deactivated urgent action required httppanupdatein,1
bank statement june ready view,0
inspector sharma delhi police aadhaar card linked crime pay avoid arrest,1
amazon order shipped delivered tomorrow,0
bank statement june ready view,0
ola driver arrived please wear mask travel safely,0
thank using phonepe transaction successful,0
