message,label
Your PAN card is about to be deactivated. Urgent action required: http://panupdate.in,1
This is RBI. Your account is suspended. Share your OTP to reactivate.,1
This is a reminder to drink water and stay hydrated today!,0
Don't miss out! Flat 50% off on all styles at Myntra. Offer valid till Sunday.,0
This is a reminder to drink water and stay hydrated today!,0
You’ve received a parcel from FedEx. Pay ₹50 delivery fee now: http://scamlink.com,1
This is a reminder to drink water and stay hydrated today!,0
You’ve received a parcel from FedEx. Pay ₹50 delivery fee now: http://scamlink.com,1
"Thank you for using PhonePe. Your transaction of ₹2,500 is successful.",0
This is RBI. Your account is suspended. Share your OTP to reactivate.,1
Ye police ka emergency call hai. Tumhe digital arrest kiya jaa raha hai.,1
You’ve received a parcel from FedEx. Pay ₹50 delivery fee now: http://scamlink.com,1
Your Paytm account will be blocked. Update your KYC now: http://fraudkyc.com,1
Your bank statement for June 2025 is ready to view.,0
Reminder: Your car service is due this week. Please visit your nearest center.,0
Your Amazon order #12345 has been shipped and will be delivered tomorrow.,0
"Congratulations! You’ve won ₹5,00,000 in KBC Lucky Draw. Call 9000000000 to claim your prize.",1
Your bank statement for June 2025 is ready to view.,0
This is a reminder to drink water and stay hydrated today!,0
Your Paytm account will be blocked. Update your KYC now: http://fraudkyc.com,1
You’ve received a parcel from FedEx. Pay ₹50 delivery fee now: http://scamlink.com,1
Your bank statement for June 2025 is ready to view.,0
Zomato: Your order has been confirmed and will reach you in 30 mins.,0
Get free recharge worth ₹199. Limited offer: http://scamdeal.in,1
"This is Inspector Sharma from Delhi Police. Your Aadhaar card is linked to a crime. Pay ₹10,000 to avoid arrest.",1
"This is Inspector Sharma from Delhi Police. Your Aadhaar card is linked to a crime. Pay ₹10,000 to avoid arrest.",1
This is RBI. Your account is suspended. Share your OTP to reactivate.,1
"Tumhara PAN card kisi dusre ke sath link ho gaya hai. Resolve karne ke liye ₹2,000 pay karo.",1
"We are calling from the Income Tax Department. You have a refund of ₹35,000. Share your account details.",1
This is a reminder to drink water and stay hydrated today!,0
"Digital lockdown lagne wala hai tumhare number pe. Bachne ke liye abhi ₹3,000 pay karo.",1
"We are calling from the Income Tax Department. You have a refund of ₹35,000. Share your account details.",1
"Thank you for using PhonePe. Your transaction of ₹2,500 is successful.",0
Your Ola driver has arrived. Please wear a mask and travel safely.,0
Netflix: A new episode of your favorite show is now available.,0
"We are calling from the Income Tax Department. You have a refund of ₹35,000. Share your account details.",1
Ye police ka emergency call hai. Tumhe digital arrest kiya jaa raha hai.,1
This is your bank. Suspicious transaction detected. Click to verify: http://bankfraud.com,1
Don't miss out! Flat 50% off on all styles at Myntra. Offer valid till Sunday.,0
CBI raid hone wali hai tumhare ghar pe. Agar innocent ho toh abhi fine pay karo.,1
This is your bank. Suspicious transaction detected. Click to verify: http://bankfraud.com,1
Your PAN card is about to be deactivated. Urgent action required: http://panupdate.in,1
Your PAN card is about to be deactivated. Urgent action required: http://panupdate.in,1
Zomato: Your order has been confirmed and will reach you in 30 mins.,0
Your Paytm account will be blocked. Update your KYC now: http://fraudkyc.com,1
Zomato: Your order has been confirmed and will reach you in 30 mins.,0
Reminder: Your car service is due this week. Please visit your nearest center.,0
Get free recharge worth ₹199. Limited offer: http://scamdeal.in,1
"Congratulations! You’ve won ₹5,00,000 in KBC Lucky Draw. Call 9000000000 to claim your prize.",1
Don't miss out! Flat 50% off on all styles at Myntra. Offer valid till Sunday.,0
This is a reminder to drink water and stay hydrated today!,0
Your Ola driver has arrived. Please wear a mask and travel safely.,0
Your Ola driver has arrived. Please wear a mask and travel safely.,0
Reminder: Your car service is due this week. Please visit your nearest center.,0
Police station se baat kar rahe hain. Aapko arrest notice diya gaya hai.,1
Your PAN card is about to be deactivated. Urgent action required: http://panupdate.in,1
Reminder: Your car service is due this week. Please visit your nearest center.,0
"Congratulations! You’ve won ₹5,00,000 in KBC Lucky Draw. Call 9000000000 to claim your prize.",1
"This is Inspector Sharma from Delhi Police. Your Aadhaar card is linked to a crime. Pay ₹10,000 to avoid arrest.",1
Your Ola driver has arrived. Please wear a mask and travel safely.,0
"Thank you for using PhonePe. Your transaction of ₹2,500 is successful.",0
Reminder: Your car service is due this week. Please visit your nearest center.,0
"Thank you for using PhonePe. Your transaction of ₹2,500 is successful.",0
Your electricity will be disconnected tonight. Click here to pay your pending bill: http://fakepaylink.com,1
Cyber police se bol raha hoon. Tumhara number hacking ke case mein mila hai.,1
Your PAN card is about to be deactivated. Urgent action required: http://panupdate.in,1
Your electricity will be disconnected tonight. Click here to pay your pending bill: http://fakepaylink.com,1
This is RBI. Your account is suspended. Share your OTP to reactivate.,1
Your Amazon order #12345 has been shipped and will be delivered tomorrow.,0
Get free recharge worth ₹199. Limited offer: http://scamdeal.in,1
Reminder: Your car service is due this week. Please visit your nearest center.,0
Your Paytm account will be blocked. Update your KYC now: http://fraudkyc.com,1
"Congratulations! You’ve won ₹5,00,000 in KBC Lucky Draw. Call 9000000000 to claim your prize.",1
Zomato: Your order has been confirmed and will reach you in 30 mins.,0
Your electricity will be disconnected tonight. Click here to pay your pending bill: http://fakepaylink.com,1
Get free recharge worth ₹199. Limited offer: http://scamdeal.in,1
Your Paytm account will be blocked. Update your KYC now: http://fraudkyc.com,1
"Thank you for using PhonePe. Your transaction of ₹2,500 is successful.",0
"Your electricity bill of ₹1,245 is due on 10th July. Pay now to avoid late fee.",0
"This is Inspector Sharma from Delhi Police. Your Aadhaar card is linked to a crime. Pay ₹10,000 to avoid arrest.",1
"Your electricity bill of ₹1,245 is due on 10th July. Pay now to avoid late fee.",0
Your Amazon order #12345 has been shipped and will be delivered tomorrow.,0
Your Ola driver has arrived. Please wear a mask and travel safely.,0
"We are calling from the Income Tax Department. You have a refund of ₹35,000. Share your account details.",1
Netflix: A new episode of your favorite show is now available.,0
Get free recharge worth ₹199. Limited offer: http://scamdeal.in,1
Your Ola driver has arrived. Please wear a mask and travel safely.,0
This is your bank. Suspicious transaction detected. Click to verify: http://bankfraud.com,1
Zomato: Your order has been confirmed and will reach you in 30 mins.,0
Your PAN card is about to be deactivated. Urgent action required: http://panupdate.in,1
Your bank statement for June 2025 is ready to view.,0
"This is Inspector Sharma from Delhi Police. Your Aadhaar card is linked to a crime. Pay ₹10,000 to avoid arrest.",1
Your Amazon order #12345 has been shipped and will be delivered tomorrow.,0
Your bank statement for June 2025 is ready to view.,0
Your Ola driver has arrived. Please wear a mask and travel safely.,0
"Thank you for using PhonePe. Your transaction of ₹2,500 is successful.",0
This is a reminder to drink water and stay hydrated today!,0
Police station se baat kar rahe hain. Aapko arrest notice diya gaya hai.,1
Your Paytm account will be blocked. Update your KYC now: http://fraudkyc.com,1
"Thank you for using PhonePe. Your transaction of ₹2,500 is successful.",0
Reminder: Your car service is due this week. Please visit your nearest center.,0
Reminder: Your car service is due this week. Please visit your nearest center.,0
"We are calling from the Income Tax Department. You have a refund of ₹35,000. Share your account details.",1
Get free recharge worth ₹199. Limited offer: http://scamdeal.in,1
Your bank statement for June 2025 is ready to view.,0
Your electricity will be disconnected tonight. Click here to pay your pending bill: http://fakepaylink.com,1
Cyber police se bol raha hoon. Tumhara number hacking ke case mein mila hai.,1
This is RBI. Your account is suspended. Share your OTP to reactivate.,1
Don't miss out! Flat 50% off on all styles at Myntra. Offer valid till Sunday.,0
"This is Inspector Sharma from Delhi Police. Your Aadhaar card is linked to a crime. Pay ₹10,000 to avoid arrest.",1
"Congratulations! You’ve won ₹5,00,000 in KBC Lucky Draw. Call 9000000000 to claim your prize.",1
You’ve received a parcel from FedEx. Pay ₹50 delivery fee now: http://scamlink.com,1
Your Ola driver has arrived. Please wear a mask and travel safely.,0
"Thank you for using PhonePe. Your transaction of ₹2,500 is successful.",0
"Thank you for using PhonePe. Your transaction of ₹2,500 is successful.",0
"Thank you for using PhonePe. Your transaction of ₹2,500 is successful.",0
Your bank statement for June 2025 is ready to view.,0
Tumhara SIM card kisi crime mein mila hai. Aaj hi paisa jama karo warna arrest hoga.,1
"Your electricity bill of ₹1,245 is due on 10th July. Pay now to avoid late fee.",0
Your electricity will be disconnected tonight. Click here to pay your pending bill: http://fakepaylink.com,1
Your Amazon order #12345 has been shipped and will be delivered tomorrow.,0
Zomato: Your order has been confirmed and will reach you in 30 mins.,0
Tumhara SIM card kisi crime mein mila hai. Aaj hi paisa jama karo warna arrest hoga.,1
"We are calling from the Income Tax Department. You have a refund of ₹35,000. Share your account details.",1
Don't miss out! Flat 50% off on all styles at Myntra. Offer valid till Sunday.,0
"Congratulations! You’ve won ₹5,00,000 in KBC Lucky Draw. Call 9000000000 to claim your prize.",1
This is a reminder to drink water and stay hydrated today!,0
This is your bank. Suspicious transaction detected. Click to verify: http://bankfraud.com,1
"Your electricity bill of ₹1,245 is due on 10th July. Pay now to avoid late fee.",0
This is RBI. Your account is suspended. Share your OTP to reactivate.,1
"Thank you for using PhonePe. Your transaction of ₹2,500 is successful.",0
Your bank statement for June 2025 is ready to view.,0
Netflix: A new episode of your favorite show is now available.,0
Your Amazon order #12345 has been shipped and will be delivered tomorrow.,0
Your electricity will be disconnected tonight. Click here to pay your pending bill: http://fakepaylink.com,1
Don't miss out! Flat 50% off on all styles at Myntra. Offer valid till Sunday.,0
"This is Inspector Sharma from Delhi Police. Your Aadhaar card is linked to a crime. Pay ₹10,000 to avoid arrest.",1
"Your electricity bill of ₹1,245 is due on 10th July. Pay now to avoid late fee.",0
"Thank you for using PhonePe. Your transaction of ₹2,500 is successful.",0
Your electricity will be disconnected tonight. Click here to pay your pending bill: http://fakepaylink.com,1
This is your bank. Suspicious transaction detected. Click to verify: http://bankfraud.com,1
This is your bank. Suspicious transaction detected. Click to verify: http://bankfraud.com,1
This is your bank. Suspicious transaction detected. Click to verify: http://bankfraud.com,1
Netflix: A new episode of your favorite show is now available.,0
This is RBI. Your account is suspended. Share your OTP to reactivate.,1
Tumhara SIM card kisi crime mein mila hai. Aaj hi paisa jama karo warna arrest hoga.,1
Reminder: Your car service is due this week. Please visit your nearest center.,0
"Congratulations! You’ve won ₹5,00,000 in KBC Lucky Draw. Call 9000000000 to claim your prize.",1
Your Paytm account will be blocked. Update your KYC now: http://fraudkyc.com,1
Your bank statement for June 2025 is ready to view.,0
Digital court ka summon hai tumhare liye. 10 minute mein fine bhar do.,1
Reminder: Your car service is due this week. Please visit your nearest center.,0
This is a reminder to drink water and stay hydrated today!,0
Your Paytm account will be blocked. Update your KYC now: http://fraudkyc.com,1
Get free recharge worth ₹199. Limited offer: http://scamdeal.in,1
This is RBI. Your account is suspended. Share your OTP to reactivate.,1
"Thank you for using PhonePe. Your transaction of ₹2,500 is successful.",0
Your Paytm account will be blocked. Update your KYC now: http://fraudkyc.com,1
Your Amazon order #12345 has been shipped and will be delivered tomorrow.,0
This is RBI. Your account is suspended. Share your OTP to reactivate.,1
"Congratulations! You’ve won ₹5,00,000 in KBC Lucky Draw. Call 9000000000 to claim your prize.",1
This is your bank. Suspicious transaction detected. Click to verify: http://bankfraud.com,1
You’ve received a parcel from FedEx. Pay ₹50 delivery fee now: http://scamlink.com,1
This is a reminder to drink water and stay hydrated today!,0
This is RBI. Your account is suspended. Share your OTP to reactivate.,1
"Thank you for using PhonePe. Your transaction of ₹2,500 is successful.",0
This is RBI. Your account is suspended. Share your OTP to reactivate.,1
Your Paytm account will be blocked. Update your KYC now: http://fraudkyc.com,1
Your Paytm account will be blocked. Update your KYC now: http://fraudkyc.com,1
You’ve received a parcel from FedEx. Pay ₹50 delivery fee now: http://scamlink.com,1
"Congratulations! You’ve won ₹5,00,000 in KBC Lucky Draw. Call 9000000000 to claim your prize.",1
"Congratulations! You’ve won ₹5,00,000 in KBC Lucky Draw. Call 9000000000 to claim your prize.",1
Reminder: Your car service is due this week. Please visit your nearest center.,0
This is your bank. Suspicious transaction detected. Click to verify: http://bankfraud.com,1
This is RBI. Your account is suspended. Share your OTP to reactivate.,1
This is RBI. Your account is suspended. Share your OTP to reactivate.,1
"Main Crime Branch se hoon. Tumhara naam blacklisted hai, abhi link pe click karo.",1
Your Amazon order #12345 has been shipped and will be delivered tomorrow.,0
"Main police se bol raha hoon. Aapke naam pe FIR hai, ₹5000 ka fine bharna padega.",1
"Thank you for using PhonePe. Your transaction of ₹2,500 is successful.",0
This is your bank. Suspicious transaction detected. Click to verify: http://bankfraud.com,1
This is a reminder to drink water and stay hydrated today!,0
This is a reminder to drink water and stay hydrated today!,0
This is a reminder to drink water and stay hydrated today!,0
Your electricity will be disconnected tonight. Click here to pay your pending bill: http://fakepaylink.com,1
Your Ola driver has arrived. Please wear a mask and travel safely.,0
Your PAN card is about to be deactivated. Urgent action required: http://panupdate.in,1
This is a reminder to drink water and stay hydrated today!,0
Get free recharge worth ₹199. Limited offer: http://scamdeal.in,1
Don't miss out! Flat 50% off on all styles at Myntra. Offer valid till Sunday.,0
Zomato: Your order has been confirmed and will reach you in 30 mins.,0
This is RBI. Your account is suspended. Share your OTP to reactivate.,1
You’ve received a parcel from FedEx. Pay ₹50 delivery fee now: http://scamlink.com,1
"Thank you for using PhonePe. Your transaction of ₹2,500 is successful.",0
Your electricity will be disconnected tonight. Click here to pay your pending bill: http://fakepaylink.com,1
"We are calling from the Income Tax Department. You have a refund of ₹35,000. Share your account details.",1
"Congratulations! You’ve won ₹5,00,000 in KBC Lucky Draw. Call 9000000000 to claim your prize.",1
Your Amazon order #12345 has been shipped and will be delivered tomorrow.,0
Zomato: Your order has been confirmed and will reach you in 30 mins.,0
Get free recharge worth ₹199. Limited offer: http://scamdeal.in,1
Your electricity will be disconnected tonight. Click here to pay your pending bill: http://fakepaylink.com,1
"We are calling from the Income Tax Department. You have a refund of ₹35,000. Share your account details.",1
"FIR registered ho chuki hai. Abhi bail amount ₹8,000 jama karo.",1
This is a reminder to drink water and stay hydrated today!,0
This is a reminder to drink water and stay hydrated today!,0
Netflix: A new episode of your favorite show is now available.,0
Your Amazon order #12345 has been shipped and will be delivered tomorrow.,0
Get free recharge worth ₹199. Limited offer: http://scamdeal.in,1
Get free recharge worth ₹199. Limited offer: http://scamdeal.in,1
Reminder: Your car service is due this week. Please visit your nearest center.,0
"This is Inspector Sharma from Delhi Police. Your Aadhaar card is linked to a crime. Pay ₹10,000 to avoid arrest.",1
"We are calling from the Income Tax Department. You have a refund of ₹35,000. Share your account details.",1
This is your bank. Suspicious transaction detected. Click to verify: http://bankfraud.com,1
Get free recharge worth ₹199. Limited offer: http://scamdeal.in,1
This is your bank. Suspicious transaction detected. Click to verify: http://bankfraud.com,1
This is a reminder to drink water and stay hydrated today!,0
Get free recharge worth ₹199. Limited offer: http://scamdeal.in,1
"Your electricity bill of ₹1,245 is due on 10th July. Pay now to avoid late fee.",0
Your Amazon order #12345 has been shipped and will be delivered tomorrow.,0
This is RBI. Your account is suspended. Share your OTP to reactivate.,1
Your electricity will be disconnected tonight. Click here to pay your pending bill: http://fakepaylink.com,1
This is a reminder to drink water and stay hydrated today!,0
Your Amazon order #12345 has been shipped and will be delivered tomorrow.,0
"Thank you for using PhonePe. Your transaction of ₹2,500 is successful.",0
"Congratulations! You’ve won ₹5,00,000 in KBC Lucky Draw. Call 9000000000 to claim your prize.",1
Your Amazon order #12345 has been shipped and will be delivered tomorrow.,0
Reminder: Your car service is due this week. Please visit your nearest center.,0
Your Amazon order #12345 has been shipped and will be delivered tomorrow.,0
Your Paytm account will be blocked. Update your KYC now: http://fraudkyc.com,1
"Thank you for using PhonePe. Your transaction of ₹2,500 is successful.",0
"Your electricity bill of ₹1,245 is due on 10th July. Pay now to avoid late fee.",0
Zomato: Your order has been confirmed and will reach you in 30 mins.,0
Zomato: Your order has been confirmed and will reach you in 30 mins.,0
This is a reminder to drink water and stay hydrated today!,0
You’ve received a parcel from FedEx. Pay ₹50 delivery fee now: http://scamlink.com,1
Your Paytm account will be blocked. Update your KYC now: http://fraudkyc.com,1
"Congratulations! You’ve won ₹5,00,000 in KBC Lucky Draw. Call 9000000000 to claim your prize.",1
Your Paytm account will be blocked. Update your KYC now: http://fraudkyc.com,1
Your Paytm account will be blocked. Update your KYC now: http://fraudkyc.com,1
"Your electricity bill of ₹1,245 is due on 10th July. Pay now to avoid late fee.",0
"We are calling from the Income Tax Department. You have a refund of ₹35,000. Share your account details.",1
This is RBI. Your account is suspended. Share your OTP to reactivate.,1
"Congratulations! You’ve won ₹5,00,000 in KBC Lucky Draw. Call 9000000000 to claim your prize.",1
This is your bank. Suspicious transaction detected. Click to verify: http://bankfraud.com,1
This is RBI. Your account is suspended. Share your OTP to reactivate.,1
This is RBI. Your account is suspended. Share your OTP to reactivate.,1
This is a reminder to drink water and stay hydrated today!,0
"Congratulations! You’ve won ₹5,00,000 in KBC Lucky Draw. Call 9000000000 to claim your prize.",1
Your PAN card is about to be deactivated. Urgent action required: http://panupdate.in,1
Netflix: A new episode of your favorite show is now available.,0
Your Amazon order #12345 has been shipped and will be delivered tomorrow.,0
Don't miss out! Flat 50% off on all styles at Myntra. Offer valid till Sunday.,0
RBI alert: Aapke khilaf case file ho gaya hai. Account details verify karo abhi.,1
You’ve received a parcel from FedEx. Pay ₹50 delivery fee now: http://scamlink.com,1
This is RBI. Your account is suspended. Share your OTP to reactivate.,1
Your Paytm account will be blocked. Update your KYC now: http://fraudkyc.com,1
Your Amazon order #12345 has been shipped and will be delivered tomorrow.,0
"Digital lockdown lagne wala hai tumhare number pe. Bachne ke liye abhi ₹3,000 pay karo.",1
Don't miss out! Flat 50% off on all styles at Myntra. Offer valid till Sunday.,0
Netflix: A new episode of your favorite show is now available.,0
Your Ola driver has arrived. Please wear a mask and travel safely.,0
"Your electricity bill of ₹1,245 is due on 10th July. Pay now to avoid late fee.",0
Zomato: Your order has been confirmed and will reach you in 30 mins.,0
Netflix: A new episode of your favorite show is now available.,0
"Your electricity bill of ₹1,245 is due on 10th July. Pay now to avoid late fee.",0
"This is Inspector Sharma from Delhi Police. Your Aadhaar card is linked to a crime. Pay ₹10,000 to avoid arrest.",1
"Congratulations! You’ve won ₹5,00,000 in KBC Lucky Draw. Call 9000000000 to claim your prize.",1
Your PAN card is about to be deactivated. Urgent action required: http://panupdate.in,1
Your Ola driver has arrived. Please wear a mask and travel safely.,0
Your electricity will be disconnected tonight. Click here to pay your pending bill: http://fakepaylink.com,1
Your Amazon order #12345 has been shipped and will be delivered tomorrow.,0
Reminder: Your car service is due this week. Please visit your nearest center.,0
Netflix: A new episode of your favorite show is now available.,0
Your PAN card is about to be deactivated. Urgent action required: http://panupdate.in,1
Zomato: Your order has been confirmed and will reach you in 30 mins.,0
Your Ola driver has arrived. Please wear a mask and travel safely.,0
"Thank you for using PhonePe. Your transaction of ₹2,500 is successful.",0
This is RBI. Your account is suspended. Share your OTP to reactivate.,1
"Your electricity bill of ₹1,245 is due on 10th July. Pay now to avoid late fee.",0
Netflix: A new episode of your favorite show is now available.,0
You’ve received a parcel from FedEx. Pay ₹50 delivery fee now: http://scamlink.com,1
Get free recharge worth ₹199. Limited offer: http://scamdeal.in,1
"Tumhara PAN card kisi dusre ke sath link ho gaya hai. Resolve karne ke liye ₹2,000 pay karo.",1
Zomato: Your order has been confirmed and will reach you in 30 mins.,0
Don't miss out! Flat 50% off on all styles at Myntra. Offer valid till Sunday.,0
Your electricity will be disconnected tonight. Click here to pay your pending bill: http://fakepaylink.com,1
This is RBI. Your account is suspended. Share your OTP to reactivate.,1
This is your bank. Suspicious transaction detected. Click to verify: http://bankfraud.com,1
Your bank statement for June 2025 is ready to view.,0
Your Ola driver has arrived. Please wear a mask and travel safely.,0
Your electricity will be disconnected tonight. Click here to pay your pending bill: http://fakepaylink.com,1
Don't miss out! Flat 50% off on all styles at Myntra. Offer valid till Sunday.,0
"This is Inspector Sharma from Delhi Police. Your Aadhaar card is linked to a crime. Pay ₹10,000 to avoid arrest.",1
"This is Inspector Sharma from Delhi Police. Your Aadhaar card is linked to a crime. Pay ₹10,000 to avoid arrest.",1
Your Paytm account will be blocked. Update your KYC now: http://fraudkyc.com,1
Your Ola driver has arrived. Please wear a mask and travel safely.,0
"Congratulations! You’ve won ₹5,00,000 in KBC Lucky Draw. Call 9000000000 to claim your prize.",1
Your Paytm account will be blocked. Update your KYC now: http://fraudkyc.com,1
"Court ka notice hai tumhare against. Penalty ₹15,000 hai, turant pay karo.",1
Your PAN card is about to be deactivated. Urgent action required: http://panupdate.in,1
"Congratulations! You’ve won ₹5,00,000 in KBC Lucky Draw. Call 9000000000 to claim your prize.",1
Netflix: A new episode of your favorite show is now available.,0
"Thank you for using PhonePe. Your transaction of ₹2,500 is successful.",0
"Thank you for using PhonePe. Your transaction of ₹2,500 is successful.",0
You’ve received a parcel from FedEx. Pay ₹50 delivery fee now: http://scamlink.com,1
Get free recharge worth ₹199. Limited offer: http://scamdeal.in,1
"This is Inspector Sharma from Delhi Police. Your Aadhaar card is linked to a crime. Pay ₹10,000 to avoid arrest.",1
Zomato: Your order has been confirmed and will reach you in 30 mins.,0
Your electricity will be disconnected tonight. Click here to pay your pending bill: http://fakepaylink.com,1
"Congratulations! You’ve won ₹5,00,000 in KBC Lucky Draw. Call 9000000000 to claim your prize.",1
Your electricity will be disconnected tonight. Click here to pay your pending bill: http://fakepaylink.com,1
Netflix: A new episode of your favorite show is now available.,0
Your electricity will be disconnected tonight. Click here to pay your pending bill: http://fakepaylink.com,1
"Your electricity bill of ₹1,245 is due on 10th July. Pay now to avoid late fee.",0
Your Ola driver has arrived. Please wear a mask and travel safely.,0
Reminder: Your car service is due this week. Please visit your nearest center.,0
Reminder: Your car service is due this week. Please visit your nearest center.,0
Don't miss out! Flat 50% off on all styles at Myntra. Offer valid till Sunday.,0
Your Ola driver has arrived. Please wear a mask and travel safely.,0
You’ve received a parcel from FedEx. Pay ₹50 delivery fee now: http://scamlink.com,1
"Main Crime Branch se hoon. Tumhara naam blacklisted hai, abhi link pe click karo.",1
This is your bank. Suspicious transaction detected. Click to verify: http://bankfraud.com,1
Zomato: Your order has been confirmed and will reach you in 30 mins.,0
This is RBI. Your account is suspended. Share your OTP to reactivate.,1
Your electricity will be disconnected tonight. Click here to pay your pending bill: http://fakepaylink.com,1
"Supreme Court ka order hai, apko jail ho sakta hai agar cooperation nahi kiya.",1
Your bank statement for June 2025 is ready to view.,0
This is a reminder to drink water and stay hydrated today!,0
This is your bank. Suspicious transaction detected. Click to verify: http://bankfraud.com,1
Main CBI se bol raha hoon. Aapka Aadhaar card kisi scam mein mila hai.,1
This is your bank. Suspicious transaction detected. Click to verify: http://bankfraud.com,1
Your bank statement for June 2025 is ready to view.,0
Don't miss out! Flat 50% off on all styles at Myntra. Offer valid till Sunday.,0
"This is Inspector Sharma from Delhi Police. Your Aadhaar card is linked to a crime. Pay ₹10,000 to avoid arrest.",1
Netflix: A new episode of your favorite show is now available.,0
You’ve received a parcel from FedEx. Pay ₹50 delivery fee now: http://scamlink.com,1
Cyber police se bol raha hoon. Tumhara number hacking ke case mein mila hai.,1
Main CBI se bol raha hoon. Aapka Aadhaar card kisi scam mein mila hai.,1
Your Paytm account will be blocked. Update your KYC now: http://fraudkyc.com,1
Your Amazon order #12345 has been shipped and will be delivered tomorrow.,0
Your bank statement for June 2025 is ready to view.,0
Reminder: Your car service is due this week. Please visit your nearest center.,0
"We are calling from the Income Tax Department. You have a refund of ₹35,000. Share your account details.",1
This is a reminder to drink water and stay hydrated today!,0
"Congratulations! You’ve won ₹5,00,000 in KBC Lucky Draw. Call 9000000000 to claim your prize.",1
Netflix: A new episode of your favorite show is now available.,0
This is a reminder to drink water and stay hydrated today!,0
"We are calling from the Income Tax Department. You have a refund of ₹35,000. Share your account details.",1
Your PAN card is about to be deactivated. Urgent action required: http://panupdate.in,1
Zomato: Your order has been confirmed and will reach you in 30 mins.,0
This is a reminder to drink water and stay hydrated today!,0
Reminder: Your car service is due this week. Please visit your nearest center.,0
Your bank statement for June 2025 is ready to view.,0
Don't miss out! Flat 50% off on all styles at Myntra. Offer valid till Sunday.,0
Your Paytm account will be blocked. Update your KYC now: http://fraudkyc.com,1
Netflix: A new episode of your favorite show is now available.,0
"This is Inspector Sharma from Delhi Police. Your Aadhaar card is linked to a crime. Pay ₹10,000 to avoid arrest.",1
Reminder: Your car service is due this week. Please visit your nearest center.,0
"Your electricity bill of ₹1,245 is due on 10th July. Pay now to avoid late fee.",0
Your PAN card is about to be deactivated. Urgent action required: http://panupdate.in,1
"Your electricity bill of ₹1,245 is due on 10th July. Pay now to avoid late fee.",0
"This is Inspector Sharma from Delhi Police. Your Aadhaar card is linked to a crime. Pay ₹10,000 to avoid arrest.",1
Your Ola driver has arrived. Please wear a mask and travel safely.,0
"Congratulations! You’ve won ₹5,00,000 in KBC Lucky Draw. Call 9000000000 to claim your prize.",1
Your Ola driver has arrived. Please wear a mask and travel safely.,0
Your Ola driver has arrived. Please wear a mask and travel safely.,0
