message,label
बैंक ने ₹5000 की क्रेडिट ट्रांजेक्शन की सूचना दी है। कृपया विवरण देखें।,0
आपका Flipkart ऑर्डर भेज दिया गया है। ट्रैकिंग ID: TID5021376,0
आपका OTP है: 601743 -- कृपया किसी के साथ साझा न करें।,0
आपका OTP है: 434706 -- कृपया किसी के साथ साझा न करें।,0
तुमचा PAN क्राइममध्ये वापरला गेला आहे. Cyber Cell वरून कॉल केला आहे. ₹5000 न करता अटकेचा धोका आहे.,1
आपका Flipkart ऑर्डर भेज दिया गया है। ट्रैकिंग ID: TID4253443,0
आपका OTP है: 892803 -- कृपया किसी के साथ साझा न करें।,0
आपका OTP है: 516514 -- कृपया किसी के साथ साझा न करें।,0
बँकेने ₹10000 जमा केल्याचे सूचित केले आहे. कृपया तपासा.,0
मैं पुलिस विभाग से बोल रहा हूँ। आपका नाम बैंक फ्रॉड केस में दर्ज है। ₹10000 तुरंत ट्रांसफर करें।,1
तुमचं Amazon ऑर्डर पॅकेज करण्यात आलं आहे. ट्रॅकिंग आयडी: TID4636967,0
"यह Cyber Crime Branch का कॉल है। आपका PAN कार्ड अपराध में लिंक है। ₹10000 भेजें, नहीं तो अरेस्ट होगा।",1
आपका Flipkart ऑर्डर भेज दिया गया है। ट्रैकिंग ID: TID6241895,0
तुमचा OTP: 670146. कृपया कुणासोबत शेअर करू नका.,0
तुमचा OTP: 937409. कृपया कुणासोबत शेअर करू नका.,0
बँकेने ₹3000 जमा केल्याचे सूचित केले आहे. कृपया तपासा.,0
मी पोलीस विभागातून बोलतोय. तुमचं नाव बँक फ्रॉड प्रकरणात आलं आहे. ₹3000 लगेच जमा करा.,1
बँकेने ₹50000 जमा केल्याचे सूचित केले आहे. कृपया तपासा.,0
बँकेने ₹50000 जमा केल्याचे सूचित केले आहे. कृपया तपासा.,0
डिजिटल कोर्टने अटकेचं आदेश दिलं आहे. ₹20000 दिलं नाही तर तुरुंग...,1
आपका Flipkart ऑर्डर भेज दिया गया है। ट्रैकिंग ID: TID6216674,0
"यह Cyber Crime Branch का कॉल है। आपका PAN कार्ड अपराध में लिंक है। ₹50000 भेजें, नहीं तो अरेस्ट होगा।",1
डिजिटल कोर्टने अटकेचं आदेश दिलं आहे. ₹10000 दिलं नाही तर तुरुंग...,1
बैंक ने ₹20000 की क्रेडिट ट्रांजेक्शन की सूचना दी है। कृपया विवरण देखें।,0
Digital Court ने आपको डिजिटल अरेस्ट दिखाया है। ₹50000 कोर्ट फीस अभी जमा करें।,1
"यह Cyber Crime Branch का कॉल है। आपका PAN कार्ड अपराध में लिंक है। ₹5000 भेजें, नहीं तो अरेस्ट होगा।",1
"यह Cyber Crime Branch का कॉल है। आपका PAN कार्ड अपराध में लिंक है। ₹10000 भेजें, नहीं तो अरेस्ट होगा।",1
बँकेने ₹5000 जमा केल्याचे सूचित केले आहे. कृपया तपासा.,0
